company_name,year,pdf_url_original
BNK금융지주,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_138930_2-1#page=5-6
DB하이텍,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_000990_305-1#page=20
DGB금융지주,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_139130_2-1#page=6-12
DL,2023,"https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_000210_2-1#page=7,B"
DL이앤씨,2023,"https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_375500_2-1#page=5-6,59"
E1,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_017940_2-1#page=7
ESR켄달스퀘어리츠,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_365550_2-1#page=8
GS리테일,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_007070_2-1#page=6-7
HDC현대산업개발,2023,"https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_294870_2-1#page=5,77"
HD한국조선해양,2023,"https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_009540_2-1#page=14,18,21,24"
HD현대건설기계,2023,"https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_267270_2-1#page=5-8,84"
HD현대미포,2023,"https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_010620_2-1#page=14,18,21,24"
HD현대에너지솔루션,2023,"https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_322000_2-1#page=3,10,12"
HD현대인프라코어,2023,"https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_042670_2-1#page=9,73-75,88"
HD현대일렉트릭,2023,"https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_267260_2-1#page=6,16"
HD현대중공업,2023,"https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_329180_2-1#page=14,18,21,23"
HL D&I,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_014790_2-1#page=8-9
HL만도,2023,"https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_204320_2-1#page=6-7,151,B"
HL홀딩스,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_060980_2-1#page=2
JB금융지주,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_175330_2-1#page=8
KB금융,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_105560_2-1#page=5
KC그린홀딩스,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_009440_2-1#page=10
LG,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_003550_2-1#page=5
LG디스플레이,2023,"https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_034220_2-1#page=6,90"
LG생활건강,2023,"https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_051900_2-1#page=12-13,93"
LG에너지솔루션,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_373220_2-1#page=8
LG유플러스,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_032640_2-1#page=6
LG이노텍,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_011070_2-1#page=4
LG전자,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_066570_2-1#page=6
LG헬로비전,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_037560_2-1#page=6
LG화학,2023,"https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_051910_2-1#page=10,13,H"
NAVER,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_035420_2-1#page=14
NH투자증권,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_005940_2-1#page=11-12
OCI홀딩스,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_010060_2-1#page=2
S-Oil,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_010950_2-1#page=2
SGC에너지,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_005090_2-1#page=9
SK,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_034730_2-1#page=2
SKC,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_011790_2-1#page=5-6
SK가스,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_018670_2-1#page=5
SK네트웍스,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_001740_2-1#page=6-12
SK렌터카,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_068400_2-1#page=7
SK이노베이션,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_096770_2-1#page=4-5
SK증권,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_001510_2-1#page=6
SK텔레콤,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_017670_2-1#page=11
SK하이닉스,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_000660_2-1#page=6
강원랜드,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_035250_2-1#page=4
고려아연,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_010130_2-1#page=4-5
교보증권,2023,https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_030610_2-1#page=6
금호석유화학,2023,"https://esg.krx.co.kr/contents/02/02030100/ESG02030100P.jsp?file=2023_011780_2-1#page=7-11,13-18"
